"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"LASP1",4494.17314400405,0.304891486511542,0.0904794455615747,3.36973203824566,0.000752413126528594,0.0670139907942558
"VASP",694.118284216811,0.304977252457221,0.100342328535605,3.03936790094525,0.00237075146533041,0.10755936352655
"FAIM3",224.862746473614,0.306189972456302,0.146616461051527,2.08837377645267,0.036764131094877,0.340192469088522
"TMEM164",267.762538852454,0.306241938362964,0.131091248418506,2.33609750503934,0.0194861603180943,0.269955008620824
"ITM2C",1072.40212586294,0.306668301153954,0.10431214675636,2.93990978701871,0.00328307819298877,0.125858996692182
"VAMP5",476.208000746494,0.308048896004757,0.149904405609296,2.05496893005027,0.039882005783017,0.348195306313346
"RASSF2",567.481631345706,0.308802867377236,0.155464850794829,1.98631951723139,0.0469978568452195,0.372231113799446
"SCPEP1",1042.26951689808,0.30881947657587,0.111802999535446,2.76217523553974,0.00574176523677027,0.162610584256628
"PGM2",581.753977795904,0.308839316128124,0.129326576328538,2.3880576204504,0.0169376859842599,0.259327388235356
"MSN",5316.89568064398,0.308844307360903,0.131530793055742,2.34807606786053,0.0188706669903691,0.266554204060891
"AKIRIN1",892.214946476309,0.309876695805682,0.150589119682896,2.05776284806104,0.0396129040339862,0.348195306313346
"FANCC",3667.52903727514,0.309884480847738,0.135487926356427,2.2871741355944,0.0221856610535968,0.287741619393969
"ZNF256",90.1602809205494,0.31135768219491,0.141833185559993,2.19523858937237,0.0281464874818012,0.312671320721441
"SIRT4",96.687488773034,0.311910735047585,0.138341127492792,2.25464936350065,0.0241553463697743,0.300022439280952
"CDH1",6979.58225432617,0.313133277214227,0.132709071452321,2.35954689296977,0.0182972682016029,0.264081005801498
"NFKBIE",163.441022412555,0.313386188893105,0.146663759730438,2.13676636593182,0.0326169990483817,0.328763199036527
"DDX26B",126.054606672692,0.314043453901949,0.154443450804802,2.03338796346154,0.042013342432823,0.356263139626498
"LMNB1",250.027453446306,0.314200373242508,0.150639525468489,2.08577644058121,0.0369988784544552,0.340441720106999
"TEX30",607.296843762771,0.314332270350112,0.112554809034841,2.79270404388328,0.00522694904222733,0.154929013740008
"HNF1B",308.867048942042,0.314403054900909,0.130006459107752,2.41836488016588,0.0155904345823219,0.249836943118545
"SH3BGRL3",1077.1624623396,0.314427300720221,0.154893656574075,2.0299559560714,0.0423610164540673,0.35768864782308
"LINC00649",123.357371191908,0.315493957974906,0.139486642900929,2.2618220025482,0.0237084028783765,0.29759433885744
"FBXL7",132.142048737576,0.315881895984561,0.149040318135194,2.11943922246614,0.0340533650261546,0.332752652197132
"TMEM70",560.541548460459,0.316330207054117,0.0901727431773314,3.50804684329088,0.000451409557836094,0.0562297041394939
"LHFPL2",414.27394884266,0.316351306846893,0.131599411952177,2.40389605207244,0.016221385074039,0.254760312124883
"PIM2",171.538615567293,0.316520540766737,0.121287186230725,2.60967832302267,0.00906273979526383,0.194005860035822
"BIN2",413.50751872292,0.317520588549036,0.143487572633291,2.21287866762175,0.0269060117845668,0.309587298096172
"SLC25A44",2043.70514420295,0.31753740439009,0.0821167263681019,3.86690286418233,0.000110226306124761,0.0327233820334333
"OSBPL10",121.909953817753,0.318508516417308,0.15158983068169,2.10112060278051,0.0356303807634892,0.337417898494244
"ELMO2",677.661405722169,0.318842859351378,0.0881230458108156,3.61815523303491,0.000296710420551827,0.0491619495812323
"AP5B1",408.824562733729,0.319050929125631,0.116364123266108,2.7418324494742,0.0061097498219021,0.164018968809553
"METTL1",170.801868773258,0.319639538923802,0.151922466812551,2.1039649080882,0.0353815082135284,0.337417898494244
"PLXDC2",226.598434790492,0.320345875667408,0.160722996566549,1.9931551956522,0.0462444555339437,0.369743466529606
"HMGN1",1569.07848137047,0.320426777437079,0.103022621195198,3.11025650211291,0.00186924943178123,0.0990294192823163
"PTPN13",209.590560220156,0.322459908696917,0.163195409563063,1.97591286152146,0.0481646472564426,0.376789443055712
"OSMR",643.273402082731,0.32258100159109,0.163693958548461,1.97063474090029,0.0487656699115484,0.379209869586489
"ATP1B3",287.209769218586,0.323136538462742,0.122319744328753,2.6417365425018,0.00824821884075291,0.187211969825253
"FAM86C1",83.7456115596286,0.323501245174307,0.146214406089875,2.21251280106734,0.0269312526954063,0.309662682796799
"VOPP1",589.054625121438,0.323612032195216,0.104560392157583,3.09497722337823,0.00196828011317103,0.100362780093868
"GATM",76707.2407829759,0.323765928526313,0.0765026580326436,4.23208731372656,2.31532485332788e-05,0.0123764344346727
"OTUB2",53.0063295499226,0.324796909788286,0.156896751665964,2.07013151221757,0.0384400306340478,0.344883147124615
"ANXA6",7730.93110422798,0.325290947381117,0.161882248648642,2.00942938522645,0.0444916164885461,0.364400194561898
"GPSM3",392.548853569667,0.325935361084078,0.152285798321685,2.14028730634212,0.0323315551880049,0.328375381391758
"UNC119",368.063611171287,0.326449965531849,0.124586776819602,2.62026174739667,0.00878623004904329,0.19081769889175
"SLC26A2",170.463926870476,0.326585635681719,0.155597705939148,2.09891035160532,0.03582480416856,0.33804914934523
"PLA2R1",138.650988982802,0.326695193781787,0.119964559911473,2.72326422089049,0.00646403373333024,0.168400275043316
"MPZL1",1035.8011101796,0.32734570711207,0.0734608616579389,4.45605591500292,8.3481266919943e-06,0.00677894850568056
"KDELC1",289.666021551443,0.327544097565315,0.0700405354918784,4.67649333725176,2.9182207685379e-06,0.0040293333261587
"AX746478",43.2268697478296,0.327778574766556,0.166982818410746,1.96294791216353,0.0496522267485248,0.38175765429063
"PEX6",1133.94633968404,0.328327332787147,0.126647042120937,2.59245954179981,0.00952923888717183,0.199356008991856
"ZNF821",65.3488875673465,0.328446671552973,0.14512441935707,2.26320748091918,0.0236229022904966,0.297476553932852
"DAK",5611.30408686347,0.328785158368373,0.167447261121254,1.96351469810121,0.0495863983190232,0.381428520774324
"DBF4",72.5676460905397,0.328822535991695,0.154679092496002,2.12583698731097,0.0335168351062422,0.331582554113403
"NPR2",801.144354113156,0.328944727390718,0.147969648731773,2.22305540501081,0.0262120642079059,0.306727248474581
"HHAT",178.081044398015,0.328973757882393,0.118734583819008,2.77066501857504,0.00559419456501413,0.160017629525823
"PTGS1",338.090819457072,0.329472949922065,0.16057716115427,2.05180455024693,0.0401886609242273,0.348266696053098
"ZYX",855.008180395637,0.330283492363894,0.156973206511112,2.10407559165527,0.0353718536237573,0.337417898494244
"TUBB6",166.569039698464,0.330495929642091,0.149767970622018,2.20671968959366,0.0273336487902913,0.310212150966413
"NEURL1B",1057.42328307268,0.330867352094859,0.135821188770574,2.43605106898123,0.0148485880134502,0.245290383643924
"SMIM3",269.317174687902,0.33176803507248,0.116713736166134,2.84257916823288,0.004475011546779,0.146245495697399
"NFASC",502.092977912369,0.332363637333616,0.156030875680262,2.13011454229542,0.033162158016375,0.330292000773128
"MYRIP",961.144841865326,0.333310148265272,0.149632562747734,2.22752415747367,0.0259122631279392,0.305881808594373
"SCRN1",269.908144008453,0.335188821836,0.161342716793657,2.0774958330761,0.0377558194324814,0.342031805454775
"SMAGP",143.657239690611,0.335889645122175,0.133122699548909,2.52315830628697,0.011630602958713,0.216768796876172
"COL6A3",1563.87333633458,0.33624628679951,0.132078971013959,2.54579729246963,0.0109028480290866,0.210326640322858
"STX2",696.768761957137,0.336340928630238,0.160874085309128,2.09070919025859,0.0365541406602631,0.340138035495032
"PRSS23",948.60328169934,0.336632250178198,0.15551912853732,2.16457135108891,0.0304205269493948,0.320302022008669
"HTR2B",112.705127279764,0.337104840886551,0.167863587659695,2.00820705422997,0.0446212937142713,0.364571221309357
"SMCO4",907.902541806158,0.337651969802481,0.109608458996894,3.08052839071525,0.00206633653922279,0.102506377599947
"AX747368",49.8072656895669,0.337801390869335,0.153329006659156,2.20311471540577,0.0275866642754673,0.31094111590491
"FAM105A",166.861825012035,0.337802810550093,0.159179820253579,2.12214594797231,0.0338254839257852,0.332530733730596
